wl,n1,n2
1.8300 ,0.200488431,13.43410133
1.8310 ,0.200813782,13.4405211
1.8320 ,0.201139976,13.44693337
1.8330 ,0.201467011,13.45333816
1.8340 ,0.201794888,13.45973544
1.8350 ,0.202123605,13.46612524
1.8360 ,0.202453162,13.47250754
1.8370 ,0.202783557,13.47888234
1.8380 ,0.203114791,13.48524965
1.8390 ,0.203446861,13.49160947
1.8400 ,0.203779768,13.49796178
1.8410 ,0.204113511,13.50430661
1.8420 ,0.204448088,13.51064394
1.8430 ,0.204783499,13.51697377
1.8440 ,0.205119744,13.5232961
1.8450 ,0.20545682,13.52961095
1.8460 ,0.205794728,13.53591829
1.8470 ,0.206133467,13.54221815
1.8480 ,0.206473035,13.5485105
1.8490 ,0.206813432,13.55479537
1.8500 ,0.207154657,13.56107274
1.8510 ,0.207496709,13.56734261
1.8520 ,0.207839588,13.573605
1.8530 ,0.208183292,13.57985989
1.8540 ,0.208527821,13.58610729
1.8550 ,0.208873173,13.5923472
1.8560 ,0.209219348,13.59857962
1.8570 ,0.209566345,13.60480456
1.8580 ,0.209914163,13.611022
1.8590 ,0.210262801,13.61723195
1.8600 ,0.210612259,13.62343442
1.8610 ,0.210962534,13.62962941
1.8620 ,0.211313628,13.63581691
1.8630 ,0.211665537,13.64199692
1.8640 ,0.212018263,13.64816946
1.8650 ,0.212371803,13.65433451
1.8660 ,0.212726156,13.66049208
1.8670 ,0.213081323,13.66664217
1.8680 ,0.213437302,13.67278479
1.8690 ,0.213794091,13.67891993
1.8700 ,0.214151691,13.6850476
1.8710 ,0.2145101,13.69116779
1.8720 ,0.214869317,13.69728051
1.8730 ,0.215229341,13.70338576
1.8740 ,0.215590171,13.70948355
1.8750 ,0.215951807,13.71557386
1.8760 ,0.216314247,13.72165671
1.8770 ,0.21667749,13.7277321
1.8780 ,0.217041536,13.73380002
1.8790 ,0.217406384,13.73986049
1.8800 ,0.217772032,13.74591349
1.8810 ,0.218138479,13.75195905
1.8820 ,0.218505725,13.75799714
1.8830 ,0.218873769,13.76402779
1.8840 ,0.219242609,13.77005098
1.8850 ,0.219612245,13.77606673
1.8860 ,0.219982675,13.78207502
1.8870 ,0.220353899,13.78807588
1.8880 ,0.220725916,13.79406929
1.8890 ,0.221098724,13.80005527
1.8900 ,0.221472323,13.8060338
1.8910 ,0.221846711,13.8120049
1.8920 ,0.222221888,13.81796857
1.8930 ,0.222597853,13.82392481
1.8940 ,0.222974604,13.82987362
1.8950 ,0.223352141,13.835815
1.8960 ,0.223730462,13.84174896
1.8970 ,0.224109567,13.8476755
1.8980 ,0.224489455,13.85359463
1.8990 ,0.224870124,13.85950633
1.9000 ,0.225251573,13.86541063
1.9010 ,0.225633802,13.87130751
1.9020 ,0.226016809,13.87719699
1.9030 ,0.226400593,13.88307906
1.9040 ,0.226785154,13.88895373
1.9050 ,0.22717049,13.894821
1.9060 ,0.2275566,13.90068088
1.9070 ,0.227943484,13.90653336
1.9080 ,0.228331139,13.91237845
1.9090 ,0.228719566,13.91821615
1.9100 ,0.229108763,13.92404647
1.9110 ,0.229498728,13.92986941
1.9120 ,0.229889462,13.93568496
1.9130 ,0.230280962,13.94149315
1.9140 ,0.230673228,13.94729396
1.9150 ,0.231066259,13.9530874
1.9160 ,0.231460053,13.95887348
1.9170 ,0.231854611,13.96465219
1.9180 ,0.232249929,13.97042354
1.9190 ,0.232646008,13.97618754
1.9200 ,0.233042846,13.98194418
1.9210 ,0.233440443,13.98769348
1.9220 ,0.233838797,13.99343543
1.9230 ,0.234237907,13.99917003
1.9240 ,0.234637771,14.0048973
1.9250 ,0.23503839,14.01061723
1.9260 ,0.235439762,14.01632983
1.9270 ,0.235841885,14.0220351
1.9280 ,0.236244759,14.02773304
1.9290 ,0.236648383,14.03342367
1.9300 ,0.237052755,14.03910697
1.9310 ,0.237457875,14.04478296
1.9320 ,0.237863741,14.05045164
1.9330 ,0.238270352,14.05611302
1.9340 ,0.238677707,14.06176709
1.9350 ,0.239085805,14.06741386
1.9360 ,0.239494645,14.07305333
1.9370 ,0.239904225,14.07868551
