wl,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44
0.605,0.056769972,4.05703719,0.23584022,3.139891873,3.186150138,3.3,3.907256198,0.225190083,2.02,0,1.9663,0.0118,2.3958,0.5352,3.68,3.4837,3.1049,0.3505,2.9642,0.4792,3.846696059,0.050239275,4.5503,0.29739439,2.7308,3.5879,3.566327645,0.33188388,1.892668641,0.000636403,2.041582277,0,2.918297129,0.274775383,2.132546341,0.004939936,2.045944922,0.027875513,4.450489248,0.136571823,3.633672016,0.037320238,1.861706202,0.005226677
0.61,0.058169399,4.098180328,0.224644809,3.197128415,3.179153005,3.3,3.897180328,0.218983607,2.0197,0,1.9634,0.0118,2.3919,0.5306,3.68,3.4966,3.1037,0.3467,2.9629,0.4765,3.834620096,0.048317536,4.5318,0.279869202,2.7454,3.5991,3.560385454,0.326797008,1.891012399,0.000621496,2.040392515,0,2.905603505,0.278831863,2.130481586,0.004580378,2.041202931,0.027169235,4.431125678,0.123914238,3.618664407,0.031494389,1.857564381,0.005091543
0.615,0.05954607,4.138654472,0.213631436,3.253434282,3.172269648,3.3,3.887268293,0.212544715,2.0183,0,1.9606,0.0118,2.3883,0.5262,3.68,3.509,3.1022,0.3433,2.9616,0.4736,3.823383078,0.046353174,4.5144,0.263339302,2.7599,3.6103,3.554509491,0.321894463,1.889528325,0.000608823,2.03932765,0,2.897685345,0.283021164,2.128106876,0.004589826,2.036431747,0.026473949,4.412018552,0.112003939,3.603982972,0.026221227,1.853404028,0.004958638
0.62,0.059168734,4.179514888,0.204181141,3.307328784,3.163349876,3.303325062,3.877556452,0.210677419,2.0161,0,1.9579,0.0118,2.3849,0.5219,3.68,3.5202,3.1002,0.3402,2.9601,0.4703,3.813748743,0.044509462,4.4974,0.246967975,2.7743,3.6214,3.548891488,0.316897224,1.888045507,0.000594777,2.038266849,0,2.894017958,0.288918332,2.125084771,0,2.031630952,0.025789122,4.393176664,0.100817596,3.589635098,0.021484346,1.849224,0.004828
0.625,0.057938462,4.220236923,0.195569231,3.359615385,3.153507692,3.308246154,3.86876,0.20428,2.0136,0,1.9551,0.0119,2.3818,0.5178,3.6827,3.5315,3.0963,0.3376,2.9584,0.4663,3.804210893,0.042969762,4.48,0.23142578,2.7887,3.6325,3.543670901,0.31164807,1.88661897,0.000581525,2.037247787,0,2.887226924,0.297971855,2.121145728,0,2.026799951,0.025114153,4.374607994,0.090332124,3.575628711,0.01726644,1.845023221,0.004699601
0.63,0.056727717,4.260312576,0.187094017,3.411072039,3.143821734,3.313089133,3.860103175,0.198611111,2.0111,0,1.9523,0.0119,2.3788,0.5138,3.6896,3.5436,3.0906,0.3353,2.9565,0.4617,3.795096032,0.041659898,4.4625,0.216820654,2.803,3.6435,3.538743506,0.306506803,1.885274223,0.000569744,2.036288181,0,2.871924084,0.309689922,2.116500134,0,2.021937472,0.024448161,4.356317434,0.080525372,3.561973786,0.013546782,1.840800889,0.004573145
0.635,0.055536039,4.299757117,0.178752271,3.461718353,3.13428831,3.317855845,3.851984252,0.192385827,2.0086,0,1.9496,0.012,2.3761,0.5099,3.6995,3.5556,3.0847,0.3332,2.9544,0.4568,3.787380845,0.040781714,4.4454,0.202903541,2.8173,3.6545,3.533947707,0.301954948,1.88390196,0.000557292,2.035310594,0,2.85377544,0.322062889,2.111565206,0,2.017042084,0.023790203,4.338309134,0.071375413,3.548680786,0.010303827,1.83655627,0.004448273
0.64,0.054362981,4.338585337,0.170540865,3.511573317,3.124903846,3.322548077,3.844359375,0.18634375,2.0052,0,1.9468,0.012,2.3735,0.5062,3.7112,3.5663,3.0807,0.3311,2.9526,0.4517,3.77953766,0.04027818,4.4286,0.18909675,2.8315,3.6655,3.529122278,0.298472645,1.882670001,0.00054678,2.034434338,0,2.841722971,0.333092104,2.106758973,0,2.012112447,0.023139387,4.320587489,0.062860728,3.535759894,0.007518701,1.832288621,0.004324663
0.645,0.05320811,4.376811568,0.162456768,3.560655337,3.115664878,3.327167561,3.836852713,0.183341085,2.002,0,1.9441,0.0121,2.3711,0.5026,3.7234,3.5746,3.08,0.3292,2.9511,0.4468,3.771370884,0.039994571,4.4121,0.176109438,2.8456,3.6765,3.524209022,0.296155773,1.881432102,0.000534843,2.033554448,0,2.8396683,0.341931284,2.102499462,0,2.007147845,0.022495167,4.303158491,0.054962487,3.523219424,0.005190107,1.827997117,0.004202275
0.65,0.052071006,4.414449704,0.154497041,3.608982249,3.106568047,3.331715976,3.829461538,0.180384615,2.0001,0,1.9414,0.0121,2.3689,0.4992,3.7348,3.5793,3.08,0.3273,2.9502,0.4424,3.762255492,0.038366446,4.3958,0.163883948,2.8596,3.6874,3.519392923,0.294193206,1.88024185,0.000524798,2.0327095,0,2.84243014,0.348869446,2.099168393,0,2.002147811,0.02185714,4.286028776,0.047662948,3.511066939,0.003323869,1.823680905,0.004081184
